machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
quartz,laghos,1.4333,52096000000,1.73E+11,57988000000,5.11E+11,1592000000,2050000000,92000000,80000000,8273518,1.13E+11,83076457671,37771,2253533,8740000000,75.22446,,,,10.77354
quartz,laghos,1.4,52132000000,1.73E+11,58006000000,5.11E+11,1600000000,2052000000,86000000,74000000,8273505,1.13E+11,82874164851,37771,2253533,8730000000,77.836409,,,,6.163591
quartz,laghos,1.4666,53006000000,1.76E+11,58996000000,5.20E+11,1686000000,2088000000,76000000,74000000,8417230,1.15E+11,84297742994,37771,2254955,8860000000,76.677853,,,,11.318147
quartz,laghos,1.4333,53024000000,1.76E+11,59006000000,5.20E+11,1612000000,2088000000,72000000,74000000,8415471,1.15E+11,84334165752,37771,2254954,8850000000,77.161681,,,,8.836319
quartz,laghos,1.5,55010000000,1.83E+11,61218000000,5.39E+11,1722000000,2170000000,90000000,82000000,8728818,1.19E+11,87395861298,37771,2258117,9440000000,79.495436,,,,10.504564
quartz,laghos,1.2833,65882500000,1.06E+11,36747562500,2.88E+11,277250000,150750000,48937500,34062500,11845.71875,3746125996,17944072762,69842.90625,2108917.969,3283750000,23.19665378,,,,53.80134622
quartz,laghos,1.5,54990000000,1.83E+11,61214000000,5.39E+11,1754000000,2168000000,128000000,96000000,8727180,1.19E+11,87556119460,37771,2258118,9302000000,79.382186,,,,10.617814
quartz,laghos,1.2666,66125062500,1.06E+11,36863250000,2.89E+11,274625000,148937500,48312500,33625000,11488.71875,3745715101,18541998563,69874.90625,2108918.969,3303875000,23.36092722,,,,52.63507278
quartz,laghos,1.6666,57982000000,1.93E+11,64542000000,5.69E+11,1750000000,2282000000,98000000,78000000,9209490,1.26E+11,92248688261,37771,2262896,9800000000,84.487161,,,,15.508839
quartz,laghos,1.6333,57992000000,1.93E+11,64548000000,5.69E+11,1814000000,2282000000,106000000,84000000,9207800,1.26E+11,92285015512,37771,2262895,9826000000,85.717445,,,,12.280555
quartz,laghos,1.6666,61444000000,2.05E+11,68406000000,6.03E+11,1966000000,2420000000,112000000,100000000,9757093,1.33E+11,97997123930,37771,2268343,10650000000,91.378966,,,,8.617034
quartz,laghos,1.6833,61466000000,2.05E+11,68414000000,6.03E+11,1936000000,2422000000,100000000,94000000,9758276,1.33E+11,97801707721,37771,2268343,10318000000,87.770055,,,,13.227945
quartz,laghos,1.8,65418000000,2.18E+11,72840000000,6.42E+11,1984000000,2578000000,130000000,104000000,10389404,1.42E+11,1.04E+11,37771,2274566,11082000000,94.725765,,,,13.274235
quartz,laghos,1.8,65480000000,2.18E+11,72868000000,6.42E+11,1988000000,2576000000,92000000,90000000,10392343,1.42E+11,1.04E+11,37771,2274566,11194000000,94.639708,,,,13.360292
quartz,laghos,1.8833,69288000000,2.31E+11,77106000000,6.80E+11,2140000000,2728000000,98000000,100000000,10996139,1.50E+11,1.10E+11,37771,2280544,11704000000,98.586198,,,,14.411802
quartz,laghos,1.9,69266000000,2.31E+11,77106000000,6.80E+11,2226000000,2728000000,130000000,108000000,10996962,1.50E+11,1.10E+11,37771,2280544,11726000000,100.161045,,,,13.838955
quartz,laghos,1.9666,72274000000,2.41E+11,80442000000,7.09E+11,2392000000,2850000000,116000000,102000000,11482814,1.57E+11,1.15E+11,37771,2285302,12154000000,103.378756,,,,14.617244
quartz,laghos,1.65,84884687500,1.36E+11,47357500000,3.71E+11,354625000,190812500,62625000,44562500,11193.125,4928548951,24488283829,69874.90625,2109753.25,4275187500,29.64774419,,,,69.35225581
quartz,laghos,2,72260000000,2.41E+11,80436000000,7.09E+11,2384000000,2848000000,132000000,130000000,11483660,1.57E+11,1.15E+11,37771,2285304,12330000000,106.409956,,,,13.590044
quartz,laghos,1.6166,85841750000,1.38E+11,47841312500,3.75E+11,364125000,196187500,63812500,44750000,11400,4838677680,23702947221,69875.875,2109753.281,4288687500,29.67064413,,,,67.32535588
quartz,laghos,2,74378000000,2.48E+11,82800000000,7.30E+11,2340000000,2932000000,138000000,126000000,11810668,1.61E+11,1.18E+11,37771,2288535,12528000000,106.586495,,,,13.413505
quartz,laghos,2.0166,74396000000,2.48E+11,82810000000,7.30E+11,2310000000,2930000000,128000000,128000000,11808640,1.61E+11,1.18E+11,37771,2288536,12634000000,107.459761,,,,13.536239
quartz,laghos,2.0666,75910000000,2.53E+11,84498000000,7.45E+11,2312000000,2990000000,110000000,108000000,12051124,1.64E+11,1.21E+11,37771,2290929,12916000000,110.403726,,,,13.592274
quartz,laghos,2.1,75934000000,2.53E+11,84506000000,7.45E+11,2318000000,2992000000,106000000,104000000,12046964,1.64E+11,1.21E+11,37771,2290930,12702000000,109.740049,,,,16.259951
quartz,laghos,2.15,78116000000,2.60E+11,86980000000,7.67E+11,2478000000,3080000000,130000000,138000000,12407731,1.69E+11,1.24E+11,37771,2294486,13190000000,113.314153,,,,15.685847
quartz,laghos,2.1,78146000000,2.60E+11,86986000000,7.67E+11,2374000000,3076000000,138000000,120000000,12403484,1.69E+11,1.24E+11,37771,2294486,13694000000,112.081673,,,,13.918327
quartz,laghos,2.2333,80780000000,2.69E+11,89914000000,7.92E+11,2442000000,3182000000,114000000,110000000,12819555,1.75E+11,1.29E+11,37771,2298512,13744000000,116.71844,,,,17.27956
quartz,laghos,2.2,80764000000,2.69E+11,89906000000,7.92E+11,2524000000,3182000000,130000000,144000000,12821560,1.75E+11,1.29E+11,37771,2298513,13460000000,120.282537,,,,11.717463
quartz,laghos,2.3166,83436000000,2.78E+11,92846000000,8.18E+11,2710000000,3292000000,182000000,146000000,13257360,1.81E+11,1.33E+11,37771,2302598,14140000000,121.177912,,,,17.818088
quartz,laghos,1.85,99429250000,1.60E+11,55486625000,4.34E+11,413687500,224000000,73437500,51375000,11470.15625,5691268368,27783427292,69875.875,2110247.406,4918625000,33.96220344,,,,77.03779656
quartz,laghos,2.3666,83376000000,2.78E+11,92822000000,8.18E+11,2714000000,3290000000,128000000,116000000,13252974,1.81E+11,1.33E+11,37771,2302599,14426000000,119.087941,,,,22.908059
quartz,laghos,1.9,99693812500,1.60E+11,55626062500,4.35E+11,421562500,228187500,73250000,52062500,11338.625,5691152047,28195245069,69875.875,2110247.406,4972000000,34.74309506,,,,79.25690494
quartz,laghos,2.5833,93430000000,3.11E+11,1.04E+11,9.17E+11,3024000000,3688000000,134000000,138000000,14852424,2.03E+11,1.49E+11,37771,2318277,15916000000,134.102611,,,,20.895389
quartz,laghos,1.9833,1.07E+11,1.72E+11,59961562500,4.69E+11,464062500,252562500,81437500,57750000,11344.28125,6283262191,30743430872,69843.875,2110786.531,5667937500,39.18778937,,,,79.81021063
quartz,laghos,2.55,93462000000,3.11E+11,1.04E+11,9.17E+11,3026000000,3686000000,140000000,134000000,14852316,2.03E+11,1.49E+11,37771,2318278,16520000000,137.166703,,,,15.833297
quartz,laghos,2.0833,1.12E+11,1.80E+11,62300500000,4.88E+11,468062500,253187500,84187500,58812500,11317,6378038372,30799224189,69843.875,2110736.375,5644937500,39.13898947,,,,85.85901053
quartz,laghos,0.7333,18722000000,77512000000,27208000000,2.21E+11,688000000,712000000,50000000,30000000,30887939,77792290434,37168079192,37771,2189549,5748000000,38.546328,,,,5.451672
quartz,laghos,0.6,29098437500,45337750000,16517187500,1.26E+11,150875000,98937500,27437500,18250000,877977.5938,2441696660,8667590992,69875.875,2106774.375,1816687500,13.43691488,,,,22.56308513
quartz,laghos,0.75,18722000000,77512000000,27208000000,2.21E+11,712000000,712000000,40000000,24000000,30885180,77796755598,37167429328,37771,2189547,5680000000,38.542706,,,,6.457294
quartz,laghos,0.6,28018250000,43730375000,15984312500,1.22E+11,151000000,98750000,27187500,18000000,877844.125,2441625420,8599874615,69875.875,2106774.375,1812000000,13.47541534,,,,22.52458466
quartz,laghos,0.9,23430000000,96882000000,34004000000,2.76E+11,842000000,894000000,44000000,28000000,37530644,97270317507,46548092112,37771,2193877,7080000000,49.217785,,,,4.782215
quartz,laghos,0.7333,35964687500,56082187500,20447562500,1.56E+11,188875000,123875000,34062500,22812500,1060727.688,3053258063,10897858995,69874.90625,2106909.625,2246437500,16.80195247,,,,27.19604753
quartz,laghos,0.9333,23410000000,96868000000,33998000000,2.76E+11,832000000,886000000,46000000,28000000,37528035,97269516692,46601606642,37771,2193877,7172000000,48.350727,,,,7.647273
quartz,laghos,0.75,36527312500,56886750000,20722875000,1.59E+11,188875000,123437500,33562500,22687500,1060607.313,3053348775,10838375698,69843.875,2106908.656,2264437500,16.81629219,,,,28.18370781
quartz,laghos,1.1166,28932000000,1.20E+11,41974000000,3.41E+11,1048000000,1098000000,64000000,38000000,45827495,1.20E+11,57354272808,37771,2199060,8742000000,58.927597,,,,8.068403
quartz,laghos,0.9166,46582312500,72461875000,26313812500,2.02E+11,235375000,154562500,42875000,28437500,1291407.813,3768517513,13530766861,69874.90625,2107071.594,2801375000,20.78660097,,,,34.20939903
quartz,laghos,1.1333,28912000000,1.20E+11,41966000000,3.41E+11,1046000000,1100000000,88000000,50000000,45820563,1.20E+11,57318960230,37771,2199060,8646000000,64.708801,,,,3.289199
quartz,laghos,0.8833,44988062500,70075937500,25534875000,1.95E+11,234125000,154000000,41812500,28500000,1291325.563,3768891748,13343359077,69843.875,2107070.625,2776187500,20.86232331,,,,32.13567669
quartz,laghos,1.3166,33672000000,1.39E+11,48864000000,3.97E+11,1202000000,1278000000,66000000,42000000,52841105,1.40E+11,66583516862,37771,2203455,10208000000,70.2595,,,,8.7365
quartz,laghos,1,51387375000,80156375000,29244250000,2.23E+11,273562500,179750000,49562500,33000000,1485828.875,4386654372,15606138978,69875.875,2107208.938,3280937500,24.48055194,,,,35.51944806
quartz,laghos,1.3166,33638000000,1.39E+11,48848000000,3.96E+11,1228000000,1276000000,66000000,40000000,52842274,1.40E+11,66520384369,37771,2203455,10120000000,69.971961,,,,9.024039
quartz,laghos,0.9833,51008250000,79576562500,29062937500,2.22E+11,273312500,178875000,48875000,33062500,1485954.656,4386556263,15534772133,69874.90625,2107208.906,3264750000,24.72366538,,,,34.27433462
quartz,laghos,1.4666,37626000000,1.56E+11,54636000000,4.43E+11,1354000000,1430000000,78000000,50000000,57829759,1.56E+11,74223078074,37771,2207296,11358000000,78.778108,,,,9.217892
quartz,laghos,1.1166,57890812500,90233125000,32917687500,2.51E+11,306125000,200000000,56625000,37437500,1620399.188,4905395665,17300132842,69875.875,2107328.969,3676250000,27.34279891,,,,39.65320109
quartz,laghos,1.4666,37640000000,1.56E+11,54640000000,4.43E+11,1342000000,1432000000,76000000,44000000,57828703,1.56E+11,74232723108,37771,2207296,11480000000,77.888952,,,,10.107048
quartz,laghos,1.1166,58499750000,91176562500,33213562500,2.54E+11,304437500,199562500,55750000,37625000,1620358.25,4905068440,17247315524,69874.90625,2107328.938,3630687500,27.14786241,,,,39.84813759
quartz,laghos,1.5833,40972000000,1.70E+11,59530000000,4.83E+11,1510000000,1566000000,76000000,46000000,61894902,1.70E+11,80802717875,37771,2210591,12370000000,84.166428,,,,10.831572
quartz,laghos,1.2166,63058125000,98347625000,35844250000,2.74E+11,333062500,217812500,61750000,40875000,1730346.188,5342602630,19157815461,69874.90625,2107431.938,3956750000,30.35295619,,,,42.64304381
